Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas1179           Pavarde1179           6              5              10             3              3              1              10             6              4              4              5              
Vardas1180           Pavarde1180           2              6              6              4              3              2              0              3              7              3              0              
Vardas1181           Pavarde1181           7              2              4              0              4              1              3              6              10             1              9              
Vardas1182           Pavarde1182           6              0              3              5              4              6              2              10             0              1              6              
Vardas1183           Pavarde1183           3              5              4              7              0              10             10             1              7              6              4              
Vardas1184           Pavarde1184           6              2              5              0              8              0              2              9              1              6              2              
Vardas1185           Pavarde1185           7              8              10             1              5              9              9              4              1              10             5              
Vardas1186           Pavarde1186           2              5              0              4              4              0              3              0              4              0              7              
Vardas1187           Pavarde1187           1              6              8              9              5              10             2              3              1              5              7              
Vardas1188           Pavarde1188           7              2              4              10             8              8              1              0              4              7              5              
Vardas1189           Pavarde1189           1              6              2              6              2              10             9              6              0              5              4              
Vardas1190           Pavarde1190           9              6              1              9              4              5              10             10             1              5              2              
Vardas1191           Pavarde1191           3              9              0              10             10             0              2              3              2              9              7              
Vardas1192           Pavarde1192           1              3              8              10             10             8              6              10             7              0              3              
Vardas1193           Pavarde1193           4              7              0              0              0              10             9              7              3              3              4              
Vardas1194           Pavarde1194           2              3              6              7              3              7              8              0              0              3              2              
Vardas1195           Pavarde1195           3              8              6              9              2              1              8              9              1              2              5              
Vardas1196           Pavarde1196           9              5              8              6              4              4              7              4              7              3              1              
Vardas1197           Pavarde1197           9              10             3              4              5              2              0              6              6              3              8              
Vardas1198           Pavarde1198           1              3              2              4              0              3              1              3              0              1              0              
Vardas1199           Pavarde1199           5              2              5              2              10             4              7              6              6              0              4              
Vardas1200           Pavarde1200           7              3              9              7              5              3              9              8              2              5              4              
Vardas1201           Pavarde1201           4              7              3              3              8              9              9              2              7              4              6              
Vardas1202           Pavarde1202           8              8              3              1              3              0              3              3              10             10             7              
Vardas1203           Pavarde1203           2              6              3              10             1              7              0              10             10             1              3              
Vardas1204           Pavarde1204           4              4              7              4              3              8              0              6              2              9              0              
Vardas1205           Pavarde1205           3              3              9              1              10             9              6              0              4              6              8              
Vardas1206           Pavarde1206           2              7              2              8              1              8              4              1              4              4              10             
Vardas1207           Pavarde1207           7              4              2              8              3              5              1              2              2              0              7              
Vardas1208           Pavarde1208           6              5              0              6              2              4              3              3              8              8              7              
Vardas1209           Pavarde1209           2              5              2              8              9              10             0              6              8              10             7              
Vardas1210           Pavarde1210           9              10             2              1              2              0              10             1              2              6              0              
Vardas1211           Pavarde1211           7              6              2              8              6              9              4              2              4              2              1              
Vardas1212           Pavarde1212           0              4              7              4              3              8              2              5              7              2              2              
Vardas1213           Pavarde1213           4              3              6              8              9              9              5              10             6              4              3              
Vardas1214           Pavarde1214           4              1              8              9              9              2              5              0              8              1              5              
Vardas1215           Pavarde1215           7              5              10             3              8              5              7              5              3              1              6              
Vardas1216           Pavarde1216           6              2              3              6              1              9              10             5              10             8              3              
Vardas1217           Pavarde1217           0              4              7              6              0              1              4              10             7              4              2              
Vardas1218           Pavarde1218           2              6              7              9              4              0              7              3              5              9              7              
Vardas1219           Pavarde1219           8              0              1              10             2              10             1              9              6              8              9              
Vardas1220           Pavarde1220           5              4              6              6              6              0              8              3              8              6              5              
Vardas1221           Pavarde1221           10             8              9              9              7              6              7              6              0              6              9              
Vardas1222           Pavarde1222           6              10             7              7              5              7              5              3              3              0              8              
Vardas1223           Pavarde1223           8              10             8              2              8              8              3              9              3              5              10             
Vardas1224           Pavarde1224           4              5              2              9              2              3              0              3              7              6              9              
Vardas1225           Pavarde1225           10             2              8              1              9              2              0              2              8              7              0              
Vardas1226           Pavarde1226           10             4              5              1              9              4              10             6              0              5              6              
Vardas1227           Pavarde1227           4              2              0              6              5              3              9              6              5              3              2              
Vardas1228           Pavarde1228           5              10             9              7              4              5              1              7              10             9              9              
Vardas1229           Pavarde1229           7              2              6              4              1              1              6              0              1              7              3              
Vardas1230           Pavarde1230           8              2              9              5              6              9              9              2              8              10             0              
Vardas1231           Pavarde1231           1              0              10             7              3              7              1              5              8              0              10             
Vardas1232           Pavarde1232           0              10             7              6              8              0              0              9              3              0              9              
Vardas1233           Pavarde1233           9              2              9              2              4              10             5              2              4              9              0              
Vardas1234           Pavarde1234           8              0              4              9              10             6              6              10             6              9              6              
Vardas1235           Pavarde1235           1              5              3              3              9              3              5              2              7              1              3              
Vardas1236           Pavarde1236           5              2              3              1              8              9              2              9              9              2              6              
Vardas1237           Pavarde1237           7              8              2              0              4              1              5              6              1              0              7              
Vardas1238           Pavarde1238           10             5              10             6              5              8              0              5              7              1              9              
Vardas1239           Pavarde1239           2              9              8              4              3              10             5              5              4              4              6              
Vardas1240           Pavarde1240           3              1              10             1              6              8              7              9              6              5              1              
Vardas1241           Pavarde1241           5              8              0              10             10             6              5              5              2              2              3              
Vardas1242           Pavarde1242           0              9              5              8              6              6              0              7              8              10             2              
Vardas1243           Pavarde1243           7              7              7              5              7              0              4              3              0              10             1              
Vardas1244           Pavarde1244           9              5              3              4              2              4              6              5              1              1              6              
Vardas1245           Pavarde1245           6              9              3              9              4              2              4              4              10             6              7              
Vardas1246           Pavarde1246           9              5              6              6              10             9              1              1              10             7              10             
Vardas1247           Pavarde1247           8              8              4              8              9              5              4              2              6              6              0              
Vardas1248           Pavarde1248           0              1              6              6              3              6              7              0              4              1              5              
Vardas1249           Pavarde1249           1              0              8              6              10             8              6              6              4              3              5              
Vardas1250           Pavarde1250           10             5              0              9              7              9              10             1              7              3              8              
Vardas1251           Pavarde1251           3              9              8              2              5              3              10             6              5              8              10             
Vardas1252           Pavarde1252           9              3              10             8              1              9              2              8              6              10             9              
Vardas1253           Pavarde1253           10             5              10             2              8              10             2              10             6              9              9              
Vardas1254           Pavarde1254           7              10             9              3              2              5              6              0              1              3              9              
Vardas1255           Pavarde1255           4              6              7              9              2              5              7              10             6              10             9              
Vardas1256           Pavarde1256           8              10             7              1              9              9              4              7              2              9              7              
Vardas1257           Pavarde1257           8              10             3              10             7              7              10             8              6              0              9              
Vardas1258           Pavarde1258           8              2              6              10             8              8              8              0              8              0              3              
Vardas1259           Pavarde1259           7              2              9              9              9              7              5              7              6              8              7              
Vardas1260           Pavarde1260           5              2              1              4              10             5              2              3              6              1              10             
Vardas1261           Pavarde1261           9              5              4              7              5              1              7              7              3              0              6              
Vardas1262           Pavarde1262           1              8              6              9              10             7              2              5              3              9              0              
Vardas1263           Pavarde1263           4              8              2              6              10             6              1              0              0              5              7              
Vardas1264           Pavarde1264           6              0              9              7              5              5              8              7              10             4              9              
Vardas1265           Pavarde1265           9              1              1              6              3              5              5              6              9              1              8              
Vardas1266           Pavarde1266           10             1              0              3              0              2              5              5              8              0              2              
Vardas1267           Pavarde1267           6              0              3              0              2              8              7              9              9              1              8              
Vardas1268           Pavarde1268           2              4              0              4              6              8              4              7              2              7              6              
Vardas1269           Pavarde1269           3              3              7              2              3              5              5              5              7              5              5              
Vardas1270           Pavarde1270           1              7              7              7              2              1              9              7              8              2              7              
Vardas1271           Pavarde1271           9              4              5              0              6              2              7              10             8              2              10             
Vardas1272           Pavarde1272           4              1              0              0              6              6              2              3              8              10             6              
Vardas1273           Pavarde1273           6              1              5              6              9              6              10             6              5              0              7              
Vardas1274           Pavarde1274           6              7              8              4              3              1              9              10             9              3              2              
Vardas1275           Pavarde1275           9              6              8              1              0              1              0              8              10             2              5              
Vardas1276           Pavarde1276           2              6              9              0              5              7              4              2              4              0              5              
Vardas1277           Pavarde1277           2              3              6              5              7              4              5              7              2              9              10             
Vardas1278           Pavarde1278           2              2              8              10             3              10             8              1              6              2              0              
Vardas1279           Pavarde1279           0              7              3              7              3              6              9              4              2              8              4              
Vardas1280           Pavarde1280           2              2              1              4              8              3              8              1              8              3              1              
Vardas1281           Pavarde1281           8              9              6              5              6              5              3              10             8              9              5              
Vardas1282           Pavarde1282           0              8              9              3              2              9              10             5              7              7              0              
Vardas1283           Pavarde1283           4              5              5              0              4              9              9              2              7              8              7              
Vardas1284           Pavarde1284           4              6              9              7              8              9              2              2              8              7              7              
Vardas1285           Pavarde1285           1              8              4              5              3              0              8              9              0              8              5              
Vardas1286           Pavarde1286           3              0              3              5              7              10             4              0              0              8              7              
Vardas1287           Pavarde1287           10             1              8              5              10             7              2              3              8              9              1              
Vardas1288           Pavarde1288           2              5              9              7              2              10             4              6              2              4              5              
Vardas1289           Pavarde1289           9              4              8              3              2              4              5              0              7              2              6              
Vardas1290           Pavarde1290           1              8              6              3              0              4              2              8              9              5              8              
Vardas1291           Pavarde1291           7              1              7              8              7              2              7              3              5              3              7              
Vardas1292           Pavarde1292           2              7              8              0              5              0              0              3              8              0              8              
Vardas1293           Pavarde1293           4              2              2              0              2              10             9              10             1              2              7              
Vardas1294           Pavarde1294           6              3              6              8              2              6              10             3              3              4              3              
Vardas1295           Pavarde1295           1              8              2              0              2              7              7              4              6              2              4              
Vardas1296           Pavarde1296           5              10             2              10             1              4              5              0              8              9              10             
Vardas1297           Pavarde1297           9              2              5              7              9              6              0              7              5              0              10             
Vardas1298           Pavarde1298           8              4              4              8              0              3              8              1              4              7              6              
Vardas1299           Pavarde1299           1              6              2              7              10             7              7              4              6              7              5              
Vardas1300           Pavarde1300           9              7              2              7              7              6              3              9              0              9              1              
Vardas1301           Pavarde1301           6              9              1              7              10             5              0              10             8              8              2              
Vardas1302           Pavarde1302           5              7              6              8              9              6              4              10             0              3              7              
Vardas1303           Pavarde1303           8              5              5              7              5              4              0              8              3              10             8              
Vardas1304           Pavarde1304           2              5              3              8              2              1              7              2              0              6              4              
Vardas1305           Pavarde1305           8              8              3              6              10             2              6              4              6              10             4              
Vardas1306           Pavarde1306           1              3              8              4              7              4              8              5              4              0              0              
Vardas1307           Pavarde1307           0              4              7              9              7              0              7              9              6              9              7              
Vardas1308           Pavarde1308           2              3              8              10             6              4              7              10             4              5              7              
Vardas1309           Pavarde1309           1              8              1              10             8              0              3              2              8              9              2              
Vardas1310           Pavarde1310           4              2              5              4              7              2              1              8              1              9              1              
Vardas1311           Pavarde1311           2              2              1              10             1              9              0              4              4              7              6              
Vardas1312           Pavarde1312           2              8              3              8              4              3              9              0              6              9              4              
Vardas1313           Pavarde1313           5              10             3              4              2              0              8              3              10             0              10             
Vardas1314           Pavarde1314           4              5              6              4              4              5              0              4              6              3              5              
Vardas1315           Pavarde1315           10             3              0              3              3              10             2              10             8              10             6              
Vardas1316           Pavarde1316           7              8              8              2              6              0              9              3              3              1              7              
Vardas1317           Pavarde1317           10             4              7              9              1              2              2              2              5              7              0              
Vardas1318           Pavarde1318           10             0              1              2              0              6              6              4              8              10             4              
Vardas1319           Pavarde1319           0              1              2              7              10             10             7              3              8              8              6              
Vardas1320           Pavarde1320           10             2              2              3              2              9              10             8              3              7              2              
Vardas1321           Pavarde1321           1              7              3              4              5              0              4              4              8              2              1              
Vardas1322           Pavarde1322           9              7              8              4              3              1              9              1              9              0              9              
Vardas1323           Pavarde1323           5              9              4              9              5              6              8              1              5              2              8              
Vardas1324           Pavarde1324           5              2              2              3              1              4              7              6              6              1              5              
Vardas1325           Pavarde1325           5              6              4              2              0              6              6              9              10             0              0              
Vardas1326           Pavarde1326           9              6              10             8              9              1              4              10             3              10             9              
Vardas1327           Pavarde1327           2              0              3              2              0              2              3              1              7              4              1              
Vardas1328           Pavarde1328           2              2              7              6              9              9              5              1              9              10             5              
Vardas1329           Pavarde1329           2              4              5              5              5              7              0              2              2              8              8              
Vardas1330           Pavarde1330           4              4              0              5              2              0              6              3              8              8              2              
Vardas1331           Pavarde1331           4              7              3              0              1              2              1              7              5              0              7              
Vardas1332           Pavarde1332           9              4              6              7              0              7              9              7              4              7              2              
Vardas1333           Pavarde1333           5              8              7              8              2              4              0              4              7              9              8              
Vardas1334           Pavarde1334           1              9              9              9              8              2              8              8              7              2              4              
Vardas1335           Pavarde1335           3              0              5              8              3              8              6              7              3              9              5              
Vardas1336           Pavarde1336           8              9              1              4              9              6              9              6              10             0              1              
Vardas1337           Pavarde1337           3              2              10             4              4              1              2              3              4              0              8              
Vardas1338           Pavarde1338           9              5              7              1              10             8              7              3              6              1              5              
Vardas1339           Pavarde1339           1              5              1              7              8              3              1              8              10             0              3              
Vardas1340           Pavarde1340           7              4              1              9              1              5              7              5              5              2              10             
Vardas1341           Pavarde1341           4              8              8              2              5              4              9              9              1              3              5              
Vardas1342           Pavarde1342           5              0              9              1              8              9              0              8              0              10             5              
Vardas1343           Pavarde1343           2              2              7              10             1              4              7              1              0              10             3              
Vardas1344           Pavarde1344           0              8              3              5              6              3              1              2              6              5              6              
Vardas1345           Pavarde1345           0              3              4              4              9              4              2              1              7              2              6              
Vardas1346           Pavarde1346           6              0              4              0              1              9              3              10             3              4              7              
Vardas1347           Pavarde1347           10             9              4              4              7              2              9              4              1              0              5              
Vardas1348           Pavarde1348           2              5              5              5              2              3              3              7              10             2              2              
Vardas1349           Pavarde1349           6              6              0              7              4              7              6              7              9              9              10             
Vardas1350           Pavarde1350           9              4              7              7              3              5              9              4              6              8              2              
Vardas1351           Pavarde1351           0              7              5              9              9              5              10             9              6              3              3              
Vardas1352           Pavarde1352           7              1              6              4              7              10             7              2              8              7              0              
Vardas1353           Pavarde1353           3              9              7              1              6              6              4              3              10             1              1              
Vardas1354           Pavarde1354           10             3              4              1              4              7              4              4              10             7              10             
Vardas1355           Pavarde1355           2              5              4              8              3              1              10             4              7              10             6              
Vardas1356           Pavarde1356           9              1              3              3              9              3              8              2              3              8              9              
Vardas1357           Pavarde1357           7              7              6              6              3              4              8              3              4              8              9              
Vardas1358           Pavarde1358           2              1              7              8              8              7              5              2              0              7              5              
Vardas1359           Pavarde1359           2              6              10             2              5              6              8              0              2              5              9              
Vardas1360           Pavarde1360           0              10             9              3              2              6              2              10             1              9              5              
Vardas1361           Pavarde1361           0              7              6              8              9              2              5              4              10             1              5              
Vardas1362           Pavarde1362           4              8              4              5              10             5              1              4              2              2              9              
Vardas1363           Pavarde1363           10             9              8              5              7              2              10             4              6              6              7              
Vardas1364           Pavarde1364           8              10             8              4              4              4              3              10             3              8              2              
Vardas1365           Pavarde1365           1              4              0              5              8              0              7              3              0              6              6              
Vardas1366           Pavarde1366           9              0              4              8              4              9              10             0              5              5              7              
Vardas1367           Pavarde1367           3              2              6              7              4              4              5              8              9              3              6              
Vardas1368           Pavarde1368           9              5              5              3              3              3              8              8              6              4              6              
Vardas1369           Pavarde1369           1              2              6              7              0              2              6              9              8              3              5              
Vardas1370           Pavarde1370           8              7              5              10             8              5              4              8              5              9              9              
Vardas1371           Pavarde1371           8              0              2              7              8              2              2              1              9              6              0              
Vardas1372           Pavarde1372           4              4              4              8              7              8              1              1              3              9              7              
Vardas1373           Pavarde1373           6              3              6              3              9              8              9              1              2              8              10             
Vardas1374           Pavarde1374           8              2              7              10             10             1              4              6              6              5              10             
Vardas1375           Pavarde1375           1              2              4              7              2              5              2              6              1              9              5              
Vardas1376           Pavarde1376           6              7              6              7              2              0              3              0              9              10             10             
Vardas1377           Pavarde1377           2              1              0              2              3              6              10             3              6              10             4              
Vardas1378           Pavarde1378           1              2              5              5              3              7              4              3              9              3              9              
Vardas1379           Pavarde1379           0              8              2              2              3              6              4              3              3              0              8              
Vardas1380           Pavarde1380           10             9              6              7              6              3              8              0              2              6              4              
Vardas1381           Pavarde1381           6              1              2              10             3              7              10             8              6              5              1              
Vardas1382           Pavarde1382           1              1              1              3              9              8              7              7              3              1              5              
Vardas1383           Pavarde1383           0              7              8              7              0              2              8              3              9              5              10             
Vardas1384           Pavarde1384           2              1              4              10             8              4              3              9              10             9              7              
Vardas1385           Pavarde1385           8              6              5              8              6              5              5              4              4              4              4              
Vardas1386           Pavarde1386           3              6              6              7              10             3              5              9              2              0              6              
Vardas1387           Pavarde1387           7              3              7              3              6              6              4              6              1              0              3              
Vardas1388           Pavarde1388           8              10             9              2              6              10             8              1              2              1              8              
Vardas1389           Pavarde1389           8              3              8              7              10             9              5              5              2              5              8              
Vardas1390           Pavarde1390           8              5              0              5              3              8              6              10             8              6              5              
Vardas1391           Pavarde1391           2              9              5              7              7              8              7              6              3              8              1              
Vardas1392           Pavarde1392           7              5              3              2              6              7              2              2              7              8              4              
Vardas1393           Pavarde1393           4              1              8              10             5              2              2              10             3              4              1              
Vardas1394           Pavarde1394           7              0              0              9              10             0              3              1              10             8              5              
